Satoomi Kasagi
Ma Xianda
Empress Gao
Zhang Aokai
Zhan Guojun
Chen Jianbin
Hu Ge
Zhao Shangzhi
Wang Zhouyu
Li Peng
Wang Chunyu
Luo Xia
Ma Shouzhen
Austin Wai
Kong Xiangrui
Cheng Xiaolei
Nie Tao
Chan Hung-lit
Hong Wei
Teng Shangkun
Raymond Wu
Jin Yang
Ng Chung-yin
Fu Chunyan
Hu Yanqiang
Xuecheng
Zhang Qin
Xia Douyin
Miya Muqi
Zhao Yingcheng
Julia Leung
Liu Liyang
Liang Desheng
Su Huiyu
Arkin Mahmud
Tseten Dolma
Xu Deshuai
Sun Linlin
Zhao Junzhe
Jason Jiang
Hü King Eng
Madina Memet
Afaq Khoja
Quenby Fung
Eunice Lam
Li Xiaoqin
Yu Xiwei
Zhang Yiyi
Xiao Meili
Liu Cheng
Wang Qiucen
Gao Fangjie
Liang Wenchong
Empress Xiaozhaoren
Xin Kegui
Wang Huizhong
Chen Xujing
Li Yongbo
Wu Yigong
Xu Jianguo
T. V. Soong
Ren Jialun
Fan Xinyi
Tan-Che-Qua
He Zi
Liu Dexiang
Peng Fei
Simon Zhu Kaimin
Wang Haitao
Cai Qian
Xi Enting
Liang Zhanhao
Zhao Yudiao
Wang Tiande
Zhang Ze
Xu Haoyang
Ma Sanyi
Li Datong
Fang Zhongru
Qian Haiyan
Yu-Chi Ho
Li Junfeng
Ioannes Baptista Wu Mantang
Lü Xiwen
Li Junhui
Song Wenfei
Li Lingwei
Zhao Xiankun
Huang Qian
Liu Weiping
Wang Shenzhi
Zhuansun Shi
George Gao
Sun Bin
Hong Peiyun
Cao Xinlong
Laozi
Liu Zhiji
Qu Ying
Liu Haiguang
Daniel Nannskog
Wang Hung-Pin
Khutughtu Khan Kusala
Jiang Xuelian
Li Keran
Wang Sheng
Du Long
Xie Xide
Zhang Jigang
Jia of Zhao
Fan Ying
Liu Haitao
Wang Chi-lin
Wang Kangle
Wan Jianhui
Zuo Zongtang
Zhao Nanqi
Wang Xindi
Liang Zheyu
Wang Linuo
Su Tiren
Pan Lina
Tao Chengzhang
Ti-Anna Wang
Sun Jiajun
Zhang Min
Liu Zhongqing
Li Daozeng
Zhou Gaoping
Zhang Shichang
Leroy Hood
Cheng Jiao
Chen Xiaojia
Li Shizhou
Zhang Yufeng
Peng Shimeng
Li Houwen
Jian-Kang Zhu
Tian Zhandong
Giulio Taccon
An Yuexi
Niu Maosheng
Zhang Mengxue
Wang Kemin
Liu Jingnan
Xu Gu
Ren Cancan
Wang Meiyin
Pu Yixian
Jiang Tianyi
Zou Zheng
Yao Zhen
Liu Xiaobo
Li Yaowen
Hu Fang
Ma Leilei
Cui Zhide
Li Zhun
Ge Gan-ru
Fernando Chui
Wang Keqin
Dai Yongjiu
Peng Xinyong
Chen Xiao
Fu Jiamo
Zhu Zhengting
Huang Zunxian
Zhu Jiahua
Lin Yuxin
Lei Jiayin
Ma Rong
Wei Chengqing
Kenneth Hsu
Na Ying
Xie Molin
Xu Yongjiu
Sun Feixiang
Xie Na
Empress Quan
Gan Yingbo
Guo Pu
Shen Ping'an
Andrija Kaluđerović
Jia Dandan
Wang Yintai
Tang Li
Song Weiping
C. K. Yang
Chen Lijun
Mencius
Xiao Baojuan
Yu Junjian
Liu Xiaodong
Li Jianrou
Huang Wenyi
Du Wei
Yang Dongliang
Zhang Yimeng
Yu Rui
Chen Zhong
Zhang Cheng
Yan Fuqing
Andreas Wang Tianqing
Xun Xu
Cui Jianjun
Wu Ti-jung
Zhang Sishi
Hao Jiachen
Zhang Limei
Jiao Ruoyu
Clarisse Yeung
Wang Xiaotang
He Jiaxin
Zhang Zhenhuan
Duan Shumin
Zhu Youqian
Wang Ying
Chen Liangyu
Song Xiuyan
Emperor Muzong of Liao
Min Naiben
Empress Guo
Ma Yashu
Ming Xi
Wang Jianping
Li Weifeng
Wang Xu
Yongming Yanshou
Luo Shuzhang
Chen Bangping
Shen Guoqin
Huisheng
Cai Jin
Hajiakbar Abdulghupur
Itsunen Shoyu
Wu Zhihui
Chi Zhiqiang
Niu Zhiyuan
Lü Banglie
Wang Weifan
Li Chengyun
Liu Shibo
Alatenghua
Nemanja Pejčinović
Franck Boli
Li Changxiang
Li Haopei
Zheng Lianjie
Liao Yibai
Vincent Zhan Silu
Hu Peiquan
Ren Hui
Song Wenjie
Xiao Jin
Lin Yueh-ping
Shao Jiayi
Wang Ji
Wang Chu
Luo Binwang
Jiang Yanjiao
Wang Xufeng
Yang Chaoyue
Emperor An of Han
Qiu Yike
Dragan Stančić
Gao Xuefeng
Peng Xiaoran
Meng Fanlong
Xiong Fei
Tseng Chih-chen
Wang Feng
Zhang Chong
An Qi
Zhang Yanru
Sa Zhenbing
Chien Yu-chin
Ying Ruocheng
Minxin Pei
Wang Zi-Ping
Lai Hang
Jin Qiaoqiao
Yu Nan
Chen Xia
Bai Xiaolei
Shadow Zen
Zheng Wenguang
Li Dongmei
Zhang Lingyun
Zhu Wenchen
Emperor Jing of Northern Zhou
Consort Wan
Ma Yuanxiang
Yao Lijun
Liao Yaoxiang
Liu Xiangrong
Xu Nannan
Rao Yutai
Zhang Xinxin
Chen Yunhua
King Xiaowen of Qin
Bin Cheng
Shen Kuo
Zeng Gong
Ren Lei
Yu Lianquan
Kong Xuanyou
Nguyễn An
Zheng Yiming
Chen Xiaoli
Empress Xiaomucheng
Li Chuan Yun
Wu Wenhui
Emperor Yuan of Jin
Qin Yongmin
Hu Bin
Qian Qianyi
Zhu Lühe
Lu Pin
Liu Mingyuan
Lü Jianjun
Julius Jia Zhiguo
Han Aiping
Xiao Qian
Chang Cheh
Li Bude
Li Xiangyu
Qingshui
Zhang Yi
Emperor Xuanzong of Jin
Ma Chengxiang
Liu Meili
Qin Benli
Yikuang
Wang Zongfang and Wang Zongwei
Ye Tianshi
Carson Wen
Li Yuchun
Zhao Zhizhong
Feng Zemin
Chen Dongjie
Niu Jianfeng
Chen Fahu
Tian Bo
Qiu Leng
Wu Jianping
Zheng Wushuang
Liu Jipiao
Xing Ailan
Michael Fu Tieshan
J.J. Fong
Nian Weisi
Liu Gaolian
Liu Jianli
Wang Qiuming
Pu Shunqing
Chen Mao-nan
Cho Chun-ying
Xie Wenjun
Henry Wu
Hu Mei
Xu Jiamin
Zhang Chengdong
Zhao Tailong
Lu Zheyu
Liang Xiaosheng
Liu Liping
Rui Chenggang
Yu Tao
Wang Manli
Gao Wenqian
Tang Jiaxuan
Chang Si
Zhou Lulu
Huang Boyun
Victor Koo
Kang Yue
Leanne Liu
Wu Lingmei
Wu Jia-qing
Guang Qin
Huang Yijun
Mei Siping
Zayniddin Tadjiyev
Wen Junjie
Wieslaw Borkowski
Yu Pingbo
Qin Qiang
Yu Delu
Małgorzata Braunek
Guo Youhua
Tan Lei
Yan Zhen
Tsai Cheng-fu
Lai Man-Wai
Chen Xiaoxu
Xu Xiaobing
Chen Peitong
Ni Bowen
Xian Yi Fang
Jiang Chengji
Zhao Lifeng
Henry Fok
Murod Kholmukhamedov
Yao Ye
Feng Guixin
Fala Chen
Zhou Xiao
Ao Tegen
Chih-Ping Chen
Danashri
Xie Daoxin
He Pan
Yingdi Sun
Du Qiong
Empress Xia
Li Yong
Zhang Ruoxu
Zhu Shugui
Wu Shuqing
Yan Zhiyu
Liu Kang
Li Chenguang
Zhao Yan
Guo Yue
Yang Longyan
Empress Xiaochengren
Chen Zhongwei
Shi Guangnan
Hu Qing
Chan Wing-wah
Tsang-gi Ni
Raymond Lam
Shulü Ping
Bin Wang
Gao Chai
Xing Zhaolin
Gu Xiancheng
Liu Yali
Baby Zhang
Fang Shu
Zhang Kangkang
Liu Yun-Chang
Chen Mengjia
Chen Kenmin
Faith Sai So Leong
Miriam Lau
Han Sanping
Lü Dongbin
Wang Xiurong
Chen Fang
Lin Junmin
Han Jingna
Zheng Yongnian
Han Jian
Wen Zhenheng
Jiao Zhe
Qin Hui
Wang Yiwu
Jeffrey Kang
Huang Yun-wen
Tian Houwei
Geng Bingwa
Wang Bingnan
Wu Jianqiu
Chan Yuk-shee
Qu Xiao-Song
Zang Jinsheng
Jiang Nan
Míchel
Luo Pinchao
Xiang Zhizhuang
Saiyinjiya
Yan Dong Xing
Xin Chunying
Xiao Zhuang
Wang Zhen
Zhao Yanming
Yangwei Linghua
Zhang Qian
Li Li
Sun Zheng'ao
Xu Weizhou
Zhang Zhi
Hou Zhihui
Niu Lijie
Xiang Zhang
Zhu Mingguo
Sun Le
Ji Mingyi
Li Qinyao
Liu Shiying
Dai Yun
Zhou Yun
Xinyu Zhang
Zheng Saisai
Yang Zezhi
Deng Xuan
Wu Yajun
Zuo Yiteng
Simon Lui
Hu Yamei
Li Yuqiang
Wu Liuxi
Ma Boyong
Gao Lihua
Jiang Wenli
Dai Rao
Du Xuean
Yang Wenyi
Mother Lü
Xu Datong
Sun Fuming
Zhou Yafei
Fang Fuquan
Wu Fenglong
Chen Yutian
Zheng Xinmiao
Yang Weizhen
Yi Shu
Chung Ching
Jing Junhong
Qin Guan
Sun Shenglu
Ye Zhaoying
Griselda Yeung
Wang Tzu-wei
Wu Han
Cheng Wen-hsing
Zhou Fohai
Zhang Yunlong
Lucie Cheng
John Liu Jinghe
Li Wenwen
Joseph Fan Zhongliang
Ma Linyi
Chen Daofu
Tang Shaoyi
Lin Qisheng
Yang Rong
Lei Sufen
Ji Zebiao
Emperor Zhangzong of Jin
Yang Luchan
Li Jinlan
Zhang Lianwen
He Shuheng
Shi Shengjie
Ran Yong
Lu Xiaoxin
Cai Huijue
Li Tianmin
Ji Qilin
Liu Tonghua
Bi Xiaolin
Wen Junhui
Zhou Sui'an
Han Xinyun
Jin Jing
Yin Na
Zhang Shoulie
Zhao Bingjun
Jiang Weipu
Guan De
Xiao Wenyan
Goo Kim Fui
Jiang Zhe
Cai Gao
Chu Yibing
Hui-lin Li
Duan Yucai
Shi Feng
Erdeni Bumba
Muhammad Ma Jian
Thomas Qian Yurong
Liu Yan
Jia Xiaozhong
Zhang Jianya
Zhao Chunsheng
Shen Weiwei
Asqar Jadigerov
Xu Wanquan
Song Jianwei
Zhu Xingyuan
Tian Yuan
Chen Hao
Liu Xuan
Yin Junhua
Yu Xingze
XiaoWeiXiao
Gao Xingzhou
Deng Daokun
Liu Qiuhong
Yang Yinliu
Liu Yungeng
Su Yu
Hsieh Pei-chen
Yao Zongxun
Pu Zhiqiang
Chen Zhenglei
Chen Shiyi
Alan Dawa Dolma
Li Hongxue
Lu Ying
Wang Zhenglin
Ren Yuandao
Wang Qishu
Song Kenan
Boh Runga
Li Xiaoming
Lu Wenjin
Gu Lingyi
Xue Jinghua
Liu Xiaosheng
Guillaume Dah Zadi
Micree Zhan
Samuel Lamb
Xia Shoutian
Song Qing
Wei Ziya
Princess Dowager Yin
Zvjezdan Misimović
Chen Lei
Zhu Renxue
Xiqi Gao
Li Chuncheng
Li Xianhua
Zhang Nan
Wang Xiufen
He Yingqiang
Gao Guanwu
Pan Yunhe
Huang Yaqiong
Cai Yanshu
Doulu Ge
Wang Chunguang
Qianlong Emperor
Xu Dongxiang
Ao Changrong
Xu Li
Wang Yongxin
Duanmu Ci
Têng Ssu-yü
An Yulong
Kitty Poon
Lee Chia-hsin
Ko Reibun
Bei Ling
Han Hong
Li Yingying
Wang Pinxian
Jin Xin
Cao Yuanhang
Vivi Jiang
Fan Ho
Feng Junyan
Kumārajīva
Empress Xiaozheyi
Joseph Meng Ziwen
Liu Anlong
Chen Jiafeng
Li Huahua
Tony Tse
Zhang Jin
Lily Chung
Helen Wu
Xu Jinglei
Wu Zao
Luke Ching Chin Wai
Li Xuepeng
Sun Dan
Jessie Li
Paliha
Wu Bangguo
Zhu Jidong
Wang Yichun
Zheng He
Zhang Xinyu
Xiao Yanning
Ning Zhenyun
Xia Jiaping
Xie Fuzhi
Zhang Dongsun
Liu Junhong
Chen Yanping
Yang Yuliang
Shao Mi
Dou Can
Shan Xuxian
Liu Shaomei
Zikos Chua
Zhang Benren
Zheng Xiaolong
Huang Chao
Tuo Tong
Zhang Wanqiong
Liu Junshuai
Dai Lin
Princess Yongtai
Lu Jun
Jiang Pengxiang
Shan Ying
Buhe
Mok Kwai-lan
Lin Bu
Qi Xieyuan
Robyn Wong
Liu Chengming
Fu Baoshi
Pan En
Xue Zizheng
Zhou Keqin
Zhang Lebin
Chang Kia-ngau
See Siang Wong
Xing Aiying
Li Yanfeng
Song Ruozhao
Liu Weijuan
Dai Houying
Zeng Yan
Andy Zhang
Pei Xingru
Lu Yen-hsun
Liu Yuxi
Pei Encai
Zhao Yongsheng
Man Yanling
Rabban Bar Sauma
Li Zhendong
Sun Zhu
Puankhequa
Lilian Lee
Phanthog
Shang Keyuan
Su Hongxi
Wu Yanan
Yang Boyu
Zhang Xiaofei
Liu Ping
Wu Zhaohui
Chai Biao
Lam Chiu Ying
Jin Yilian
Mao Anying
Xu Zhongyu
Du Wenxiu
Chang Chien-ming
Naren Hua
Yang Kun-pi
Tso Wung-wai
Wu Di
Kennedy Wong
Song Nan
Chu Shisheng
Feng Qingbo
Liu Renqing
Dennis Lo
Yang Zhensheng
He Yizhen
Liang Xinjun
Hao Junmin
E Dongchen
Ma Yin
Qu Jingyu
Xu Dongdong
Zhu Shujing
Zha Shenxing
Zuo Quan
Zhao Lin
Zu Lijun
Rachel Ah Koy
Li Chunjian
Jiang Jiajun
Wang Chuanfu
Wang Chunli
Zhang Ben
Guo Pei
Liu Hongwang
Du Yuming
Xu Qinxian
Zheng Kunliang
Rao Pingru
Matthew Luo Duxi
Jiang Yefei
Song Xiaoyun
Prince Nikolai of Denmark
Zhang Wangli
Wen Shu
Gurun Princess Hexiao
Lee Hysan
Lau Wai Shing
Yao Shu
Liu Yonghong
Zhu Min
Cai Yingquan
Zhong Chuxi
Samson Tam
Sun Dongmei
Zhao Ruozhu
Aleksandar Živković
Ji Wei
Ding Xuedong
Qiu Zhuoyang
Su Buqing
Ma Jir Bo
Lord Chunshen
Yang Wanshun
Lei Sheng
Tang Xijing
Li Xiaoshuang
Huang Wenbi
Ouyang Tzu
Yin Tao
Bai Yawen
Huang Ting
Paul Chun
Feng Zhe
Hubert Wu
Mou Pengfei
Liu Wenxi
Yin Lihua
Xu Guangping
Xu Xiaolong
Yu Yong
Zhang Zhaoxu
Wang Lianzheng
Cheah Tek Thye
Chu Hui
Ye Qun
Hao Kexin
Mei Xiaohan
Zhou Zhenhe
Wang Xiaohong
Wu Quanyou
Xue Fei
Wu Yubiao
Zhao Shi
Su Hui
Xu Pu
Wang Shasha
Fang Zheng
Zhang Tianhan
Yuan Gong
Yu Song
Jiang Jin
Ma Liyun
Wang Guofeng
Chen He
Li Xiaoyong
Yam Kim-fai
Xue Chen
Lu Haodong
Ron Sang
Li Yunting
Li Zhensheng
Yu Weiliang
Jiang Zhipeng
Wang Jinliang
Zhang Chen
Wu Fei
Feng Liming
Sherzod Karimov
Yu Jinhe
Wu Xin
Sun Yafang
Zhang Beiwen
Jing Hao
Gao Mengmeng
Chen Lin
Yuan Wenkang
Michael Hui
Larry Yung
Ling Zihan
Katie Leung
Wang Danfeng
Wang Ping
Ying Yin
Mei Lanfang
Yang Zhongjian
Yan Hui
Cao Fang
Gao Shuying
Chen Fangyun
Zhang Hongjiang
He Yong
Liu Lizhe
Zhang Xichun
Jinde Cao
Zheng Yunlong
Dou Jiande
Sun Hongyun
Cao Chunying
Qin Hao
Wang Ke
Shi Yang
Hu Kexian
Li Yin
Huang Xuan
Lau Siu-lai
Fang Yuting
Jessica Xue
Guo Yihan
Lü Yi
Cong Zheyu
Yim Fung
Li Chuanmin
Yang Chenyu
Wen Zhang
Pei Shuai
Zhao Jing
Lim Peng Siang
Chen Bijun
Jayaatu Khan Tugh Temür
Mi Fu
Peng Xuwei
Zhang Yuan
Wushour Silamu
Willy Wo-Lap Lam
Islom Inomov
Zhou Huaren
Zhang Xinyi
Yang Jing
Cao Haiqing
Paulus Lang Fu
Magdalene Du Fengju
Wang Tianpu
Zhu Jinhong
Caesar Wu
Wang Zhu
Cao Bo
Wang Shishen
Zhao Pengda
Ng See-yuen
Chen Chuangtian
Mạc Cửu
Zeng Xuelin
Hai Xia
Zhang Hongpeng
Wang Fa
Wong Jack Man
Fan Jiachen
Emperor Yao
Feng Zhi
Li Jinxi
Wang Ziling
Cheng Yuan
James Zhongzi Lee
Dou Zhaobo
Ye Qiaobo
Zheng Zhenyao
Bingyi
Li Xiaoxu
Qi Haifeng
Li Yu
Mathias Chen Xilu
Tang Pik-wan
Shao Shuai
Nian Yun
Gao Hongying
Yu Hua
Zhang Xiangxiang
Qi Tianyu
Liu Boli
Abu Bakker Qassim
Zhao Jingbin
Lyu Haotian
Lao She
Zhang Gong
Shi Chaoyi
Ku Kuo-chian
Zhang Mingyu
Elvis Han
Chen Luyu
Huang Yan
Hu Huaibang
Cai Guangliao
Wang Tiexin
Dong Cheng
Mi Na
Cai Ronggen
Guo Quan
Han Ling
Wang Dandan
Lee Sun Chau
Yan Huiqing
Xie Zhiyu
Zheng Na
Xiong Zi
Xie Weichao
Jianwen Emperor
Wang Qingyun
Liang Lanbi
Song Chaoqing
Tang Qunying
Ouyang Xun
Liu Yu
Zeng Chunlei
Wan Chaochen
Wuershan
John Chrysostom Lan Shi
Duan Jieyi
Peng Cheng
Tan Kai
Gong Xingao
Yuanyuan Tan
Teddy Robin
Haochen Zhang
Zhang Wu
Wu Yizhen
Le Maosheng
Zheng Xiong
Xiao Sha
Dong Chengpeng
Ah Quon McElrath
Kui Yuanyuan
Duan Yongping
Situ Guong
Jenova Chen
Liu Jindong
Chen Zhechao
Tu Men
Zhang Guoqiang
Han Dongfang
Guo Yongxiang
Ren Bishi
Hu Dongmei
Xu Genbao
Chia Boon Leong
Timothy Lin
Huai C. Chiang
Zhang Linli
Wu Xueqian
Nina Wang
Alan Hoo
Zhang Yufei
Zhang Ruonan
Zhou Xiaolan
Shi Xiufeng
Feng Shu
Liu E
Shao Xianghua
Guo Jianli
Guo Zhengtang
Fan Yilin
Chia Lien-chen
Zhao Hongbo
Yu Yifeng
Pei Zhi
Ran Min
Sha Wenhan
Li Jianxun
Hao Jianxiu
Mo Zhixin
He Zhuoqiang
Sun Feifei
Princess Anle
Zhang Kai
Yan Jing
Eduardo Li
Xu Xiuzhi
Samuel Guo Chuan-zhen
Su Donglin
Yin Dehang
King Wen of Zhou
Xiong Ziqi
Emperor Mu of Jin
Mo Yan
Li Xiaolu
Wang Mo
Yang Ailong
Du Siyu
Xiao Tong
Wang Lijun
Ye Tan
Xi Hongyan
Wang Han
Zhang Chujun
Song Wencong
Liu Tianfu
Jiang Liyin
Abdurehim Ötkür
Yao Jianzhong
Athena McNinch
Dung Kai-cheung
Fu Zhihuan
Lu Ting
Liu Le
Lin Yining
Tong Le
Charles Zhang
Ji Zhongxing
Li Yuanyi
Hu Weiwei
Li Shuang
Xu Shouhui
Fang Fenghui
Yelan
Huang Mengying
Paul Chan Wai-chi
Situ Qiao
Lu Yongxiang
Qu Baowei
Shi Yuzhu
Yang Xianhui
Jin Yi
Wong Chun-chun
Song Jianping
Bi Yirong
Gao Xiang
Trần Thượng Xuyên
Sun Sinan
Zang Wenbo
Duoji Qiuyun
Chen Cheng-sheng
Asako O
Tang Erho
Stanley Ho
Zuo Si
Xia Fujie
Yulbars Khan
Sui Ran
Zhang Dingcheng
Jin Kemu
Yu Ke
Gan Quan
Zheng Dongsheng
Gao Chang
Chai Jing
Isabel Ge Mahe
Bai Chongxi
Herman Hu
Liu Yanqiu
Yang Wang
Tang Jitian
Pai Hsiao-ma
Jiang Xiaojuan
Chen Shixiang
Peter Joseph Fan Xueyan
Xu Huanshan
Chuang Chia-jung
Chen Da
Peng Yuxing
Hu Dunfu
P. C. Chang
Ziyu He
Chen Baozhen
Yok Mu-ming
Xu Hongzhi
Gao Heng
Ma Lan
Rong Guotuan
Zhou Jiping
Zhang Dan
Ai Mingzhi
Li Yuejiu
Zhang Xinfeng
Ye Peng
Wang Mian
Yang Mi
Dong Chunhua
Ren Guixin
Hwang Yau-tai
Chin-Lung Hu
Lai Yawen
Wang Fengge
Liao Bochao
Xu Lai
Kong Xue
Duke Zhuang of Zheng
Qiu Jin
Huang Haiqiang
Chen Ling
Li Yuwei
He Hui
Duke of Ye
Wu Cheng'en
Emperor Zhao of Han
Chan Wah-shun
Abdullah Abdulqadirakhun
Bian Jinyang
Emperor Shengzong of Liao
David Z. T. Yui
Mariko Daouda
Shen Keqin
Wei Cai
Xie Yuxin
Chung-Kang Peng
Huang Sijing
Ma Sichun
Liu Guanxiong
Zhu Ling
Pan Pan
Hua Jiansheng
Zhang Guangbei
Zheng Dalun
Deng Shudi
Shen Dingyi
Tang Yin
Wang Yongfeng
Jiawei Han
Wen Tong
Xiaoming Wang-Dréchou
Han Sanming
Shang Chunsong
Joseph Neng Shun Kwong
Tsien Tsuen-hsuin
Lei Jingtian
Xiong Zhaoren
Nan Rendong
Jiang Shuai
Yang Jintong
Liu Yuhao
James Soong
Zhu Zhengyu
Zhu Chaoqing
Lin Yaohua
Chen Wen Hsi
Li Shouxin
Liu Yang
Badema
Huang Le
Muzi Mei
Yin Lu
Li Lianli
Feng Dawei
Cao Shunli
Cheng Zhiqing
You Wenhui
Jin Zhiyang
D. C. Lau
Yang Chen
Deng Zilong
Xu Zhiming
Peng Zhao
Xiangzhong Yang
Mo Xiong
Yuen Kay Shan
Guan Zhong
Xiao Yiming
Gai Ruyin
Josephine Koo
Dai Xianrong
Ba Yanchuan
Qiang Yang
Zhu Yunying
Chris Jiashu Xu
Li Sen
Wang Shen
Wang Guifang
Sun Lianzhong
Chen Haibin
Liu Junlin
Guan Jianhua
Xie Hexing
Huang Rulun
William Yee
Zhang Shenfu
Xiong Mengjing
Sheng Yilun
Wu Jiaxin
Li Meifang
Han Hsiang-ning
Li Jinming
Jiang Gaoming
Zhang Yueran
Xie Yi
Yi Wei-chen
Ah Cheng
Lou Xia
Liang Xinping
Cai Yeqing
Wang Jinbo
Gao Erwei
Yu Dunkang
Zhou Daxin
Yin Jianling
Dong Zhen
Ba Yan
Li Qiaoxian
Yin Meng
Wang Shuo
Wan Yanhai
Chai Zemin
Wang Hanlin
Ma Faying
Lü Peng
Zhang Bing
Xiao Ke
Zhang Jike
Xu Yaping
Wu Sha
Liang Geliang
Zhou Lingmei
Gordan Petrić
Jia Zhangke
Yu Chunyan
Guo Dan
Jin Xianglan
Chen Haoyu
Wu Wenxiong
Xie Qimei
Ji Pengfei
Ye Xiufeng
Tang Can
Zhu Cong
Emperor Taizu of Song
Wang Ning
Tong Xiaoxing
Zhao Yunlei
Shen Yue
Wei Lihuang
Du Xinwu
Zhou Meiyu
Yi Xiqun
Xia Yi
Ha Yu
Wang Huiliang
Liao Yiwu
Chih Ping Wang
Hui Xirui
Lin Chen-hua
Tian Bingyi
Zheng Qi
Shen Tiantian
Jiang Haokang
Wang Shiyue
Yuan Muzhi
Yang Yanqin
Fan Chengcheng
Sun Xiaoguo
Cai Yanyan
Chen Zhuofu
Fu Tianyu
Yu Lamei
Jin Jiangbo
Xu Ze
Empress Xiaoyichun
Xu Xingye
Tang Xiaoyin
You Yong
Marguerite Müller-Yao
Ling Qing
Hou Zhanbiao
Jiang Binbin
Liu Di
Shi Na
Li Donghua
Han Xiaopeng
Ren Hongqiang
Song Aimin
Ye Weichao
Liu Yunfeng
Sui Feifei
Lou Tseng-Tsiang
Wang Jin
Chloé Zhao
Xia Ningning
Michael Yeung
Wang Yan
Duan Dechang
Chen Bing Sun
Emperor Taizong of Liao
Zhao Yang
Lin Longchang
Du Runsheng
Emperor Shunzong of Tang
Ding Haifeng
Gu Songfen
Wang Long
Chen Jin
Zhu Yaming
Dilraba Dilmurat
Zhu Yingfu
Mei Baojiu
Li Shengwu
Li Zhengpeng
Hao Jiming
Cui Yuan
Tang Jingmei
Ban Chao
Yang Zhen
Duan Qifeng
Cui Yining
Wang Jingzhuo
Siu Shih Chang
Feng Boxuan
Chee Kim Thong
Shi Wancheng
Wang Xiwen
Tan Hongbin
Zhang Aiping
Leung Chun-ying
Liu Xu
Empress Dowager Kezuhun
Cheng Taining
Chen Cailiang
Yin Hao
Wu Zhen
Li Chi-chun
Zhu Daqing
Lü Lingzi
Zhuang Yi
Shu-tien Li
Lin Zongsu
Cao Mianying
Fan Zhiqiang
Ruan Zhenduo
Li Xueqin
Liang Hongzhi
Wang Jiali
Cao Dewang
Ma Yiming
Yang Zhaohui
Yuan Jinkai
Yan Liben
Yao Ping
Cai Jing
Zhou Qunfei
Li Bo
Cha Liang-chao
Liu Haili
Meng Yang
Shen Chen
Wang Chunlu
Chao Fong-pang
Zeng Guofan
Wu Liufang
Chen Fake
Chen Shunyao
Zhang Zongsui
Fei
Wu You
Fan Chou
Yu Zhijian
Yang Guangxian
Lu Min
Marjorie Yang
Emperor Taizong of Song
Li Baolian
He Fani
Wu Haoran
Imperial Noble Consort Quehui
Ma Shaowu
Wang Jing
Lu Zhenhong
Cheng Dawei
Qiu Yanan
Hsueh Hsuan-yi
Kūsankū
Chloe Maayan
Chen Gexin
Yau Lit
Francis An Shuxin
Chen Junyi
Sheng Keyi
Chen Chunxian
Jia Lanpo
Wang Fulin
Ivy
Luo Guiping
Wang Jianan
Xia Wan
Zhang Yingying
Wan Kuok-koi
Li Dongyan
Wang Shu
Jiang Hongjie
Wang Zhiwen
Liu Zhongde
Fan Chunling
Wang Weidong
Zhou Xiuhua
Ma Chengqing
Li Wenfan
Zhao Hailin
Shih Kien
Xing Chongzhi
Jiang Mengjie
Li Hongli
Luo Zilin
Ma Guangtong
Bian Jun
Bernardine Dong Guangqing
Zeng Chao
Qi Jingyi
Li Xuan
Lu Zhuo
Zhang Siqing
Cai Yun
Wang Yuanyuan
Zhang Zhiqing
Luo Shaowei
Liu Bao-Cheng
Pei Xiu
Peng-Peng Gong
Hoifa-Nara, the Step Empress
Hu Ning
Wang Jingyao
Han Qiwei
Lei Chien-ying
Wang Yuanping
Huang Jue
Zeng Sini
Ruan Yi
Meng Ziyi
Xu Haidong
Ying Shao
Lai Runming
Maimaitituersun Qiong
Huang Hongtao
Xu Zhihong
Bao Zhao
Emperor Zhang of Han
Yun Wang
Chen Zhongshi
Huang Lei
Eric Xu
Cheng Wei
Liu Xinwu
An Yangfeng
Yan Hai
Rebel Pepper
Ge Yang
Wong Tsu
Fan Wanzhang
Tengger
Ye Mingchen
Zhao Zhiyong
Wu Jingzi
Meng Meiqi
Lady Xian
Peng Lei
Huang Minqiang
Wan Peng
Lu Gang
Zhao Shijian
Shen Tianhui
Tong Jian
Li Decheng
Bartholomew Yu Chengti
Wee Tian Siak
Tan Jiajie
Song Ruoshen
Zhao Zhonghao
Zhou Bing
Abaoji
Ding Jilian
Fang Binxing
Meng Ge
Zhou Can
Gu Cao
Gao Jian
Pei Zunqing
Richard Ng
Zhang Junzhe
Yang Shuo
Chen Xiaomin
Ma Xiaoxu
Mu Zang
Huang Zhihong
Zhao Xisha
Aoxuan Lee
Celina Jade
Yang Hui
Emperor Ningzong
Lu Zhangong
Liu Changcheng
Chenyang Xu
Zheng Chen
Xiang Hengqing
Zhang Zai
Li Dak-sum
Fei Xing
Han Pengfei
Yang Zishan
Zhu Jin'er
Wang Jianxun
Yang Wei
Emperor Kang of Jin
Emperor Shenzong of Song
Gheni Batur
King Zhaoxiang of Qin
Bi Shiduo
Luo Xuejuan
Ma Qixi
Wang Changtai
Chen Shih-hsin
Ji Xinjie
Wang Mengshu
Tiger Hu
Chi Chunxue
Empress Xie
Shen Si
Yao Xia
Tan Dun
Ariel Aisin-Gioro
Wang Xing
Sun Jinliang
Wang Yu
Zou Yougen
GAI
Zheng Chaoqun
Qu Xiaohui
Jia Yuping
